艦船ID,図鑑番号,艦名,読み,艦種,改装前,改装後,改装Lv,改装弾薬,改装鋼材,改装設計図,カタパルト,耐久初期,耐久最大,耐久結婚,火力初期,火力最大,雷装初期,雷装最大,対空初期,対空最大,装甲初期,装甲最大,対潜初期最小,対潜初期最大,対潜最大,対潜155最小,対潜155最大,回避初期最小,回避初期最大,回避最大,回避155最小,回避155最大,索敵初期最小,索敵初期最大,索敵最大,索敵155最小,索敵155最大,運初期,運最大,速力,射程,レア,スロット数,搭載機数1,搭載機数2,搭載機数3,搭載機数4,搭載機数5,初期装備1,初期装備2,初期装備3,初期装備4,初期装備5,建造時間,解体燃料,解体弾薬,解体鋼材,解体ボーキ,改修火力,改修雷装,改修対空,改修装甲,ドロップ文章,図鑑文章,搭載燃料,搭載弾薬,ボイス,リソース名,画像バージョン,ボイスバージョン,母港ボイスバージョン
1,31,睦月,むつき,2,0,254,20,100,100,0,0,13,24,17,6,29,18,59,7,29,5,18,16,16,39,52,52,37,37,79,102,102,4,4,17,24,24,12,49,10,1,3,2,0,0,0,0,0,1,37,-1,-1,-1,18,1,1,4,0,1,1,0,0,睦月です。<br>はりきって、まいりましょー！,帝国海軍の駆逐艦で初めて大型で強力な61cm魚雷を搭載しました、睦月です！<br>旧式ながら、第一線で頑張ったのです！,15,15,0,snohitatusbk,21,19,1
2,32,如月,きさらぎ,2,0,255,20,100,100,0,0,13,24,17,6,29,18,49,7,29,5,18,16,16,39,52,52,37,37,69,87,87,4,4,17,24,24,10,49,10,1,2,2,0,0,0,0,0,1,-1,-1,-1,-1,18,1,1,4,0,0,1,0,0,如月と申します。<br>おそばに置いてくださいね。,睦月型駆逐艦２番艦の如月と申します。<br>ウェーク島では五月蠅いF4F戦闘機の攻撃を受けながら奮戦しました。<br>いやん、ほんと、髪の毛が潮風で痛んじゃう……。,15,15,0,wujywbyjntbp,22,20,1
6,35,長月,ながつき,2,0,258,20,100,100,0,0,13,24,17,6,29,18,49,7,29,5,18,16,16,39,52,52,37,37,69,87,87,4,4,17,24,24,15,69,10,1,2,2,0,0,0,0,0,1,-1,-1,-1,-1,18,1,1,4,0,0,1,0,0,長月だ。<br>駆逐艦と侮るなよ。役に立つはずだ。,睦月型８番艦だ。<br>東南アジア方面の攻略作戦後は、船団護衛を任されていた。<br>コロンバンガラ島への揚陸作戦では敵艦の襲撃を受けながら奮戦したよ。,15,15,0,kksiqffpclxh,10,10,1
7,37,三日月,みかづき,2,0,260,20,100,100,0,0,13,24,17,6,29,18,49,7,29,5,18,16,16,39,52,52,37,37,69,87,87,4,4,17,24,24,10,49,10,1,1,2,0,0,0,0,0,1,-1,-1,-1,-1,18,1,1,4,0,0,1,0,0,あなたが司令官ですね。三日月です。<br>どうぞお手柔らかにお願いします。,軽空母のエスコートや船団護衛に従事した睦月型駆逐艦三日月です。<br>激戦のソロモン海域にも出撃しました。<br>旧式だけど速力を生かして強行輸送任務も奮闘しました。,15,15,0,ujhxqqlcorxv,11,11,1
9,11,吹雪,ふぶき,2,0,201,20,100,100,0,0,15,29,19,10,29,27,79,10,39,5,19,20,20,49,65,65,40,40,89,116,116,5,5,19,26,26,17,49,10,1,3,2,0,0,0,0,0,2,13,-1,-1,-1,20,1,1,5,0,1,1,0,0,はじめまして吹雪です。<br>よろしくお願い致します。,ワシントン条約制限下で設計された、世界中を驚愕させたクラスを超えた特型駆逐艦の１番艦、吹雪です。<br>私たちは、後の艦隊型駆逐艦のベースとなりました。<br>はいっ、頑張ります！,15,20,0,gyckjmemgqoe,22,20,1
10,12,白雪,しらゆき,2,0,202,20,100,100,0,0,15,29,19,10,29,27,69,10,39,5,19,20,20,49,65,65,40,40,79,101,101,5,5,19,26,26,10,49,10,1,2,2,0,0,0,0,0,2,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,白雪です。<br>よろしくお願いします。,特型駆逐艦、２番艦、白雪です。<br>緒戦の数々の作戦に参加しました。<br>その後、増援の部隊を輸送する第八十一号作戦に護衛隊旗艦として参加致しました。,15,20,0,xqnkdultpvaf,16,16,1
11,14,深雪,みゆき,2,0,204,20,100,100,0,0,15,29,19,10,29,27,69,10,39,5,19,20,20,49,65,65,40,40,79,101,101,5,5,19,26,26,10,49,10,1,2,2,0,0,0,0,0,2,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,深雪だよ。<br>よろしくな！,特型駆逐艦４番艦の深雪さまだよ！<br>演習中に他の駆逐艦とぶつかって事故っちゃったこともあるんだ。<br>まー、でもやるときゃやるぜ。みてなって！,15,20,0,cdidanqovcfr,11,11,1
12,16,磯波,いそなみ,2,0,206,20,100,100,0,0,15,29,19,10,29,27,69,10,39,5,19,20,20,49,65,65,40,40,79,101,101,5,5,19,26,26,10,49,10,1,1,2,0,0,0,0,0,2,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,あ、あの…磯波と申します。<br>よろしくお願いいたします。,特型駆逐艦９番艦の磯波です。<br>数々の作戦に参加したんですけど、中破してからは、後方で海上護衛や哨戒活動に従事していました。<br>頑張ります。,15,20,0,ljesxnctkmmf,11,11,1
13,17,綾波,あやなみ,2,0,207,20,100,100,0,0,15,29,19,10,29,27,79,12,39,5,19,20,20,49,65,65,41,41,89,116,116,5,5,19,26,26,12,49,10,1,3,2,0,0,0,0,0,2,13,-1,-1,-1,20,1,1,5,0,1,1,0,0,ごきげんよう。<br>特型駆逐艦、綾波と申します。,特型駆逐艦、綾波です。<br>改良吹雪型の１番艦なんです。<br>第三次ソロモン海海戦では、駆逐艦一隻としては、特別な大活躍をお見せしました。<br>頑張ります！,15,20,0,icpexclhwthr,13,13,1
14,18,敷波,しきなみ,2,0,208,20,100,100,0,0,15,29,19,10,29,27,69,12,39,5,19,20,20,49,65,65,41,41,79,100,100,5,5,19,26,26,10,49,10,1,2,2,0,0,0,0,0,2,-1,-1,-1,-1,20,1,1,5,0,0,1,0,0,アタシの名は敷波。<br>以後よろしく。,特Ⅱ型駆逐艦２番艦の敷波。よろしく。<br>ミッドウェーやソロモンの海戦に参加した後、船団護衛を務めたよ。<br>海上護衛戦は結構大変だよ…大事だし…。,15,20,0,gcbiuhgmgjbm,14,14,1
